R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Damian Stasiak;Yaotzin Meza;0;0;14 of 23;17 of 25;60%;68%;16 of 25;70 of 82;1 of 2;2 of 2;50%;100%;1;3;1;1;2:43;10:11;8 of 14;4 of 11;3 of 6;1 of 1;3 of 3;12 of 13;8 of 17;9 of 16;1 of 1;1 of 1;5 of 5;7 of 8;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;April 11, 2015;Krakow, Poland;Featherweight Bout;Yaotzin Meza
Pawel Pawlak;Sheldon Westcott;0;0;30 of 60;17 of 45;50%;37%;77 of 113;38 of 70;3 of 4;3 of 11;75%;27%;0;0;0;0;3:07;9:58;15 of 40;6 of 24;14 of 19;10 of 19;1 of 1;1 of 2;8 of 32;3 of 15;16 of 20;14 of 30;6 of 8;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Grant Waterman;April 11, 2015;Krakow, Poland;Welterweight Bout;Pawel Pawlak
Bartosz Fabinski;Garreth McLellan;0;0;41 of 53;13 of 21;77%;61%;116 of 132;51 of 59;10 of 11;0 of 4;90%;0%;0;2;0;0;10:56;2:43;12 of 23;2 of 10;22 of 23;3 of 3;7 of 7;8 of 8;4 of 10;2 of 10;37 of 39;11 of 11;0 of 4;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 11, 2015;Krakow, Poland;Middleweight Bout;Bartosz Fabinski
Sergio Moraes;Mickael Lebout;0;0;51 of 82;47 of 111;62%;42%;51 of 82;50 of 114;2 of 3;0 of 0;66%;---;0;0;0;1;3:59;0:04;40 of 69;33 of 95;8 of 8;5 of 6;3 of 5;9 of 10;50 of 80;46 of 110;0 of 0;0 of 0;1 of 2;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 11, 2015;Krakow, Poland;Welterweight Bout;Sergio Moraes
Seth Baczynski;Leon Edwards;0;1;0 of 4;3 of 3;0%;100%;0 of 4;3 of 3;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:02;0 of 3;3 of 3;0 of 1;0 of 0;0 of 0;0 of 0;0 of 4;1 of 1;0 of 0;0 of 0;0 of 0;2 of 2;KO/TKO;1;0:08;3 Rnd (5-5-5);Grant Waterman;April 11, 2015;Krakow, Poland;Welterweight Bout;Leon Edwards
Gabriel Gonzaga;Mirko Filipovic;0;0;19 of 47;21 of 46;40%;45%;46 of 75;32 of 59;2 of 7;0 of 1;28%;0%;1;0;0;0;6:37;1:00;16 of 42;20 of 44;2 of 3;1 of 2;1 of 2;0 of 0;4 of 20;2 of 19;3 of 5;3 of 6;12 of 22;16 of 21;KO/TKO;3;3:30;5 Rnd (5-5-5-5-5);Leon Roberts;April 11, 2015;Krakow, Poland;Heavyweight Bout;Mirko Filipovic
Daniel Omielanczuk;Anthony Hamilton;0;0;36 of 44;83 of 100;81%;83%;81 of 91;113 of 131;1 of 3;3 of 4;33%;75%;0;0;0;0;1:30;12:26;16 of 23;29 of 44;17 of 18;51 of 53;3 of 3;3 of 3;3 of 5;3 of 12;27 of 33;44 of 47;6 of 6;36 of 41;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 11, 2015;Krakow, Poland;Heavyweight Bout;Anthony Hamilton
Izabela Badurek;Aleksandra Albu;0;0;32 of 45;42 of 62;71%;67%;42 of 55;53 of 74;1 of 8;0 of 1;12%;0%;0;1;0;0;3:09;1:49;4 of 17;34 of 52;9 of 9;4 of 6;19 of 19;4 of 4;6 of 18;29 of 48;26 of 27;13 of 14;0 of 0;0 of 0;Submission;2;3:34;3 Rnd (5-5-5);Grant Waterman;April 11, 2015;Krakow, Poland;Women's Strawweight Bout;Aleksandra Albu
Taylor Lapilus;Rocky Lee;0;0;80 of 143;37 of 72;55%;51%;86 of 149;49 of 84;2 of 3;1 of 10;66%;10%;1;0;1;0;2:01;3:45;45 of 104;10 of 43;26 of 29;13 of 14;9 of 10;14 of 15;47 of 110;26 of 60;27 of 27;10 of 11;6 of 6;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Lukasz Bosacki;April 11, 2015;Krakow, Poland;Featherweight Bout;Taylor Lapilus
Marcin Bandel;Stevie Ray;0;0;3 of 5;31 of 42;60%;73%;5 of 7;45 of 57;0 of 5;0 of 0;0%;---;0;2;0;0;1:35;3:14;1 of 2;27 of 35;1 of 2;1 of 1;1 of 1;3 of 6;3 of 3;5 of 10;0 of 1;1 of 1;0 of 1;25 of 31;KO/TKO;2;1:35;3 Rnd (5-5-5);Leon Roberts;April 11, 2015;Krakow, Poland;Lightweight Bout;Stevie Ray
Jorge Masvidal;Al Iaquinta;0;0;83 of 170;55 of 153;48%;35%;86 of 173;55 of 153;0 of 0;0 of 9;---;0%;0;0;0;0;0:25;0:07;62 of 146;18 of 107;10 of 11;11 of 18;11 of 13;26 of 28;77 of 155;54 of 150;1 of 6;1 of 3;5 of 9;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Keith Peterson;April 04, 2015;Fairfax, Virginia, USA;Lightweight Bout;Al Iaquinta
Chad Mendes;Ricardo Lamas;2;0;27 of 32;8 of 22;84%;36%;32 of 37;8 of 22;0 of 0;0 of 0;---;---;0;0;0;0;0:41;0:00;24 of 28;2 of 16;0 of 0;0 of 0;3 of 4;6 of 6;5 of 7;8 of 22;5 of 7;0 of 0;17 of 18;0 of 0;KO/TKO;1;2:45;5 Rnd (5-5-5-5-5);Dan Miragliotta;April 04, 2015;Fairfax, Virginia, USA;Featherweight Bout;Chad Mendes
Gray Maynard;Alexander Yakovlev;0;1;21 of 55;31 of 72;38%;43%;27 of 61;46 of 92;2 of 17;2 of 5;11%;40%;0;0;0;0;2:54;2:53;16 of 41;21 of 59;3 of 12;9 of 11;2 of 2;1 of 2;18 of 48;15 of 49;3 of 7;8 of 12;0 of 0;8 of 11;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;April 04, 2015;Fairfax, Virginia, USA;Lightweight Bout;Alexander Yakovlev
Michael Chiesa;Mitch Clarke;0;0;59 of 128;65 of 120;46%;54%;98 of 173;81 of 141;4 of 7;0 of 4;57%;0%;0;0;0;0;5:21;2:36;48 of 113;36 of 85;9 of 13;14 of 17;2 of 2;15 of 18;41 of 107;52 of 105;7 of 9;13 of 15;11 of 12;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;April 04, 2015;Fairfax, Virginia, USA;Lightweight Bout;Michael Chiesa
Clay Guida;Robert Peralta;0;0;27 of 64;24 of 84;42%;28%;44 of 85;41 of 103;6 of 11;0 of 0;54%;---;1;0;0;0;11:11;0:00;4 of 40;13 of 71;8 of 8;2 of 3;15 of 16;9 of 10;6 of 42;20 of 72;11 of 12;4 of 12;10 of 10;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mike King;April 04, 2015;Fairfax, Virginia, USA;Featherweight Bout;Clay Guida
Julianna Pena;Milana Dudieva;0;0;37 of 73;0 of 5;50%;0%;65 of 115;10 of 24;1 of 1;1 of 2;100%;50%;0;0;0;0;2:55;0:43;32 of 65;0 of 5;0 of 2;0 of 0;5 of 6;0 of 0;0 of 6;0 of 5;5 of 8;0 of 0;32 of 59;0 of 0;KO/TKO;1;3:59;3 Rnd (5-5-5);Keith Peterson;April 04, 2015;Fairfax, Virginia, USA;Women's Bantamweight Bout;Julianna Pena
Dustin Poirier;Diego Ferreira;2;0;24 of 50;20 of 56;48%;35%;29 of 56;20 of 56;0 of 0;0 of 2;---;0%;0;0;0;0;0:46;0:58;20 of 45;12 of 46;1 of 2;5 of 7;3 of 3;3 of 3;20 of 41;16 of 52;1 of 2;4 of 4;3 of 7;0 of 0;KO/TKO;1;3:45;3 Rnd (5-5-5);Todd McGovern;April 04, 2015;Fairfax, Virginia, USA;Lightweight Bout;Dustin Poirier
Shamil Abdurakhimov;Timothy Johnson;0;0;9 of 25;22 of 59;36%;37%;11 of 27;33 of 72;0 of 1;1 of 2;0%;50%;0;0;0;0;0:31;0:57;5 of 19;14 of 44;0 of 1;1 of 6;4 of 5;7 of 9;9 of 22;3 of 29;0 of 3;8 of 12;0 of 0;11 of 18;KO/TKO;1;4:57;3 Rnd (5-5-5);Mike King;April 04, 2015;Fairfax, Virginia, USA;Heavyweight Bout;Timothy Johnson
Liz Carmouche;Lauren Murphy;0;0;38 of 66;46 of 102;57%;45%;149 of 189;67 of 127;2 of 8;2 of 9;25%;22%;0;0;0;0;1:35;7:28;19 of 43;6 of 59;8 of 12;2 of 2;11 of 11;38 of 41;24 of 50;12 of 65;13 of 15;29 of 32;1 of 1;5 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;April 04, 2015;Fairfax, Virginia, USA;Women's Bantamweight Bout;Liz Carmouche
Ron Stallings;Justin Jones;0;0;50 of 84;23 of 72;59%;31%;87 of 127;88 of 145;0 of 0;2 of 12;---;16%;0;0;0;0;0:48;9:23;31 of 60;12 of 59;17 of 21;3 of 3;2 of 3;8 of 10;32 of 55;5 of 37;18 of 28;14 of 30;0 of 1;4 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Todd McGovern;April 04, 2015;Fairfax, Virginia, USA;Middleweight Bout;Ron Stallings
Leonardo Santos;Anthony Rocco Martin;0;0;12 of 39;14 of 36;30%;38%;16 of 43;24 of 46;1 of 2;0 of 3;50%;0%;1;0;0;0;1:27;1:48;6 of 25;8 of 30;0 of 3;1 of 1;6 of 11;5 of 5;12 of 39;14 of 36;0 of 0;0 of 0;0 of 0;0 of 0;Submission;2;2:29;3 Rnd (5-5-5);John McCarthy;March 21, 2015;Rio de Janeiro, Brazil;Lightweight Bout;Leonardo Santos
Amanda Nunes;Shayna Baszler;1;0;15 of 17;1 of 8;88%;12%;17 of 20;1 of 8;0 of 0;0 of 2;---;0%;0;0;0;0;0:01;0:01;8 of 9;1 of 7;1 of 2;0 of 0;6 of 6;0 of 1;13 of 14;1 of 7;0 of 0;0 of 1;2 of 3;0 of 0;KO/TKO;1;1:56;3 Rnd (5-5-5);Mario Yamasaki;March 21, 2015;Rio de Janeiro, Brazil;Women's Bantamweight Bout;Amanda Nunes
Godofredo Pepey;Andre Fili;0;0;1 of 4;1 of 6;25%;16%;5 of 8;3 of 9;0 of 2;0 of 0;0%;---;1;0;0;0;0:11;2:10;0 of 3;0 of 4;0 of 0;1 of 2;1 of 1;0 of 0;1 of 4;0 of 4;0 of 0;1 of 2;0 of 0;0 of 0;Submission;1;3:14;3 Rnd (5-5-5);Eduardo Herdy;March 21, 2015;Rio de Janeiro, Brazil;Featherweight Bout;Godofredo Pepey
Gilbert Burns;Alex Oliveira;0;0;17 of 44;29 of 76;38%;38%;37 of 69;31 of 80;2 of 5;0 of 0;40%;---;2;0;0;0;4:01;3:21;8 of 32;22 of 67;5 of 6;3 of 4;4 of 6;4 of 5;10 of 37;26 of 70;3 of 3;3 of 6;4 of 4;0 of 0;Submission;3;4:14;3 Rnd (5-5-5);Osiris Maia;March 21, 2015;Rio de Janeiro, Brazil;Lightweight Bout;Gilbert Burns
Francisco Trinaldo;Akbarh Arreola;0;0;39 of 115;34 of 74;33%;45%;91 of 169;82 of 127;3 of 3;0 of 0;100%;---;0;0;0;0;9:17;0:00;29 of 102;17 of 51;6 of 7;7 of 11;4 of 6;10 of 12;19 of 70;28 of 66;3 of 5;1 of 1;17 of 40;5 of 7;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;March 21, 2015;Rio de Janeiro, Brazil;Lightweight Bout;Francisco Trinaldo
Demian Maia;Ryan LaFlare;0;0;36 of 69;25 of 91;52%;27%;76 of 121;54 of 121;5 of 14;0 of 0;35%;---;2;0;0;0;13:48;1:36;32 of 65;8 of 60;3 of 3;5 of 15;1 of 1;12 of 16;12 of 39;24 of 88;0 of 0;0 of 0;24 of 30;1 of 3;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);John McCarthy;March 21, 2015;Rio de Janeiro, Brazil;Welterweight Bout;Demian Maia
Edimilson Souza;Katsunori Kikuno;1;0;5 of 7;1 of 4;71%;25%;5 of 7;1 of 4;0 of 0;0 of 0;---;---;0;0;0;0;0:02;0:00;4 of 5;0 of 2;1 of 2;0 of 0;0 of 0;1 of 2;4 of 6;1 of 4;0 of 0;0 of 0;1 of 1;0 of 0;KO/TKO;1;1:31;3 Rnd (5-5-5);Osiris Maia;March 21, 2015;Rio de Janeiro, Brazil;Featherweight Bout;Edimilson Souza
Erick Silva;Josh Koscheck;0;0;14 of 32;4 of 21;43%;19%;16 of 34;7 of 24;0 of 1;0 of 3;0%;0%;1;0;0;0;0:49;1:04;8 of 22;4 of 20;5 of 8;0 of 1;1 of 2;0 of 0;9 of 26;3 of 20;1 of 1;1 of 1;4 of 5;0 of 0;Submission;1;4:21;3 Rnd (5-5-5);Mario Yamasaki;March 21, 2015;Rio de Janeiro, Brazil;Welterweight Bout;Erick Silva
Leonardo Mafra;Cain Carrizosa;0;1;94 of 191;44 of 101;49%;43%;151 of 252;52 of 110;5 of 6;0 of 5;83%;0%;0;0;0;0;6:53;0:56;65 of 153;35 of 83;11 of 18;8 of 16;18 of 20;1 of 2;69 of 154;42 of 95;8 of 13;2 of 5;17 of 24;0 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mario Yamasaki;March 21, 2015;Rio de Janeiro, Brazil;Lightweight Bout;Leonardo Mafra
Leandro Silva;Drew Dober;0;0;25 of 48;22 of 72;52%;30%;28 of 52;26 of 77;2 of 4;0 of 0;50%;---;1;0;0;0;1:36;1:09;11 of 31;14 of 55;9 of 9;2 of 4;5 of 8;6 of 13;22 of 43;15 of 56;3 of 5;7 of 16;0 of 0;0 of 0;Overturned;2;2:45;3 Rnd (5-5-5);Eduardo Herdy;March 21, 2015;Rio de Janeiro, Brazil;Lightweight Bout;
Jorge de Oliveira;Christos Giagos;0;0;0 of 4;18 of 34;0%;52%;11 of 16;37 of 54;0 of 0;1 of 1;---;100%;0;1;0;0;0:00;2:41;0 of 3;18 of 34;0 of 0;0 of 0;0 of 1;0 of 0;0 of 4;2 of 4;0 of 0;0 of 0;0 of 0;16 of 30;Submission;1;3:12;3 Rnd (5-5-5);Eduardo Herdy;March 21, 2015;Rio de Janeiro, Brazil;Lightweight Bout;Christos Giagos
Bentley Syler;Fredy Serrano;0;1;15 of 79;20 of 98;18%;20%;25 of 90;20 of 98;0 of 0;2 of 8;---;25%;0;0;0;0;0:00;0:42;8 of 64;16 of 87;1 of 4;3 of 9;6 of 11;1 of 2;14 of 78;19 of 93;1 of 1;1 of 5;0 of 0;0 of 0;KO/TKO;3;1:34;3 Rnd (5-5-5);Osiris Maia;March 21, 2015;Rio de Janeiro, Brazil;Flyweight Bout;Fredy Serrano
Elias Theodorou;Roger Narvaez;0;0;39 of 113;16 of 49;34%;32%;55 of 135;17 of 50;2 of 4;0 of 0;50%;---;0;0;0;0;2:14;0:00;24 of 82;7 of 34;8 of 17;6 of 10;7 of 14;3 of 5;21 of 86;16 of 49;4 of 6;0 of 0;14 of 21;0 of 0;KO/TKO;2;4:07;3 Rnd (5-5-5);Kerry Hatley;March 14, 2015;Dallas, Texas, USA;Middleweight Bout;Elias Theodorou
Johny Hendricks;Matt Brown;0;0;36 of 67;23 of 49;53%;46%;85 of 124;39 of 66;9 of 10;0 of 0;90%;---;0;0;0;0;11:06;0:21;27 of 57;16 of 40;5 of 5;7 of 9;4 of 5;0 of 0;20 of 37;12 of 37;1 of 4;9 of 10;15 of 26;2 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kerry Hatley;March 14, 2015;Dallas, Texas, USA;Welterweight Bout;Johny Hendricks
Carla Esparza;Joanna Jedrzejczyk;0;0;4 of 22;53 of 105;18%;50%;6 of 24;55 of 107;1 of 17;0 of 0;5%;---;0;0;0;0;1:07;0:28;3 of 19;50 of 101;1 of 2;3 of 4;0 of 1;0 of 0;2 of 19;32 of 75;2 of 3;16 of 25;0 of 0;5 of 5;KO/TKO;2;4:17;5 Rnd (5-5-5-5-5);Don Turnage;March 14, 2015;Dallas, Texas, USA;UFC Women's Strawweight Title Bout;Joanna Jedrzejczyk
Ross Pearson;Sam Stout;1;0;25 of 75;23 of 111;33%;20%;25 of 75;23 of 111;0 of 0;0 of 1;---;0%;0;0;0;0;0:02;0:01;16 of 59;12 of 91;5 of 11;8 of 16;4 of 5;3 of 4;23 of 73;22 of 110;0 of 0;1 of 1;2 of 2;0 of 0;KO/TKO;2;1:33;3 Rnd (5-5-5);Dan Miragliotta;March 14, 2015;Dallas, Texas, USA;Lightweight Bout;Ross Pearson
Chris Cariaso;Henry Cejudo;0;0;22 of 71;50 of 93;30%;53%;41 of 92;111 of 162;0 of 0;6 of 7;---;85%;0;1;0;0;0:42;9:29;11 of 50;28 of 62;10 of 17;21 of 29;1 of 4;1 of 2;17 of 60;19 of 52;5 of 11;12 of 17;0 of 0;19 of 24;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;March 14, 2015;Dallas, Texas, USA;Flyweight Bout;Henry Cejudo
Roy Nelson;Alistair Overeem;1;0;23 of 77;62 of 84;29%;73%;23 of 77;62 of 84;0 of 4;0 of 2;0%;0%;0;0;0;0;0:34;0:00;18 of 68;18 of 29;4 of 6;24 of 33;1 of 3;20 of 22;14 of 60;59 of 80;9 of 15;2 of 3;0 of 2;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;March 14, 2015;Dallas, Texas, USA;Heavyweight Bout;Alistair Overeem
Anthony Pettis;Rafael Dos Anjos;0;0;54 of 162;90 of 171;33%;52%;96 of 205;144 of 233;0 of 1;9 of 10;0%;90%;0;0;0;0;0:52;14:42;38 of 141;44 of 113;11 of 16;27 of 37;5 of 5;19 of 21;53 of 158;58 of 124;1 of 3;11 of 17;0 of 1;21 of 30;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Dan Miragliotta;March 14, 2015;Dallas, Texas, USA;UFC Lightweight Title Bout;Rafael Dos Anjos
Daron Cruickshank;Beneil Dariush;0;0;17 of 43;27 of 51;39%;52%;18 of 44;30 of 54;0 of 5;1 of 1;0%;100%;0;2;0;0;0:24;2:09;10 of 31;13 of 35;2 of 6;11 of 13;5 of 6;3 of 3;11 of 35;18 of 38;6 of 8;2 of 5;0 of 0;7 of 8;Submission;2;2:38;3 Rnd (5-5-5);Don Turnage;March 14, 2015;Dallas, Texas, USA;Lightweight Bout;Beneil Dariush
Jake Lindsey;Joe Duffy;0;1;6 of 23;15 of 40;26%;37%;6 of 23;15 of 40;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:01;2 of 17;11 of 35;0 of 1;3 of 4;4 of 5;1 of 1;6 of 23;14 of 38;0 of 0;0 of 0;0 of 0;1 of 2;KO/TKO;1;1:47;3 Rnd (5-5-5);Herb Dean;March 14, 2015;Dallas, Texas, USA;Lightweight Bout;Joe Duffy
Sergio Pettis;Ryan Benoit;0;1;39 of 100;28 of 90;39%;31%;51 of 113;29 of 91;1 of 3;1 of 1;33%;100%;0;0;0;0;1:37;0:22;33 of 91;25 of 86;5 of 6;3 of 4;1 of 3;0 of 0;35 of 93;18 of 72;0 of 0;1 of 2;4 of 7;9 of 16;KO/TKO;2;1:34;3 Rnd (5-5-5);Kerry Hatley;March 14, 2015;Dallas, Texas, USA;Flyweight Bout;Ryan Benoit
Jared Rosholt;Josh Copeland;0;0;22 of 45;9 of 36;48%;25%;51 of 79;19 of 46;2 of 6;0 of 0;33%;---;0;0;0;0;5:19;0:00;19 of 41;7 of 34;3 of 4;2 of 2;0 of 0;0 of 0;9 of 24;6 of 28;3 of 4;3 of 8;10 of 17;0 of 0;KO/TKO;3;3:12;3 Rnd (5-5-5);Dan Miragliotta;March 14, 2015;Dallas, Texas, USA;Heavyweight Bout;Jared Rosholt
Larissa Pacheco;Germaine de Randamie;0;0;8 of 60;29 of 84;13%;34%;13 of 66;31 of 86;0 of 0;0 of 0;---;---;0;0;0;0;0:19;0:05;4 of 48;26 of 76;1 of 4;0 of 2;3 of 8;3 of 6;8 of 60;28 of 83;0 of 0;1 of 1;0 of 0;0 of 0;KO/TKO;2;2:02;3 Rnd (5-5-5);Don Turnage;March 14, 2015;Dallas, Texas, USA;Women's Bantamweight Bout;Germaine de Randamie
Jake Ellenberger;Josh Koscheck;0;0;15 of 52;7 of 40;28%;17%;26 of 64;21 of 55;0 of 0;1 of 6;---;16%;1;0;0;0;0:22;3:32;14 of 51;5 of 35;1 of 1;2 of 5;0 of 0;0 of 0;13 of 50;5 of 38;2 of 2;2 of 2;0 of 0;0 of 0;Submission;2;4:20;3 Rnd (5-5-5);Jerin Valel;February 28, 2015;Los Angeles, California, USA;Welterweight Bout;Jake Ellenberger
Dhiego Lima;Tim Means;0;2;7 of 24;23 of 42;29%;54%;7 of 24;25 of 47;0 of 1;0 of 0;0%;---;0;0;0;0;0:02;0:22;6 of 20;16 of 31;0 of 3;5 of 9;1 of 1;2 of 2;4 of 19;11 of 28;3 of 5;10 of 11;0 of 0;2 of 3;KO/TKO;1;2:17;3 Rnd (5-5-5);Herb Dean;February 28, 2015;Los Angeles, California, USA;Welterweight Bout;Tim Means
Mark Munoz;Roan Carneiro;0;0;0 of 1;1 of 3;0%;33%;0 of 1;2 of 4;0 of 1;0 of 0;0%;---;0;1;0;0;0:00;0:53;0 of 0;0 of 2;0 of 0;0 of 0;0 of 1;1 of 1;0 of 1;1 of 3;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;1:40;3 Rnd (5-5-5);Jerin Valel;February 28, 2015;Los Angeles, California, USA;Middleweight Bout;Roan Carneiro
Roman Salazar;Norifumi Yamamoto;0;0;16 of 49;19 of 49;32%;38%;19 of 53;19 of 49;1 of 2;0 of 0;50%;---;0;0;0;0;0:10;0:00;12 of 43;12 of 40;2 of 4;1 of 3;2 of 2;6 of 6;14 of 46;17 of 46;2 of 3;2 of 3;0 of 0;0 of 0;Could Not Continue;2;2:37;3 Rnd (5-5-5);John McCarthy;February 28, 2015;Los Angeles, California, USA;Bantamweight Bout;
Tony Ferguson;Gleison Tibau;0;0;11 of 38;2 of 20;28%;10%;17 of 45;2 of 20;1 of 1;0 of 1;100%;0%;2;0;0;0;0:45;0:00;5 of 27;2 of 18;3 of 7;0 of 1;3 of 4;0 of 1;8 of 30;2 of 20;0 of 0;0 of 0;3 of 8;0 of 0;Submission;1;2:37;3 Rnd (5-5-5);Herb Dean;February 28, 2015;Los Angeles, California, USA;Lightweight Bout;Tony Ferguson
Ronda Rousey;Cat Zingano;0;0;0 of 0;0 of 1;---;0%;0 of 0;0 of 1;0 of 0;0 of 0;---;---;1;0;1;0;0:05;0:03;0 of 0;0 of 0;0 of 0;0 of 1;0 of 0;0 of 0;0 of 0;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;0:14;5 Rnd (5-5-5-5-5);John McCarthy;February 28, 2015;Los Angeles, California, USA;UFC Women's Bantamweight Title Bout;Ronda Rousey
Raquel Pennington;Holly Holm;0;0;40 of 139;44 of 210;28%;20%;51 of 150;48 of 214;0 of 5;0 of 0;0%;---;0;0;0;0;0:15;0:03;24 of 107;17 of 164;4 of 14;23 of 36;12 of 18;4 of 10;32 of 128;29 of 187;7 of 10;15 of 23;1 of 1;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;February 28, 2015;Los Angeles, California, USA;Women's Bantamweight Bout;Holly Holm
James Krause;Valmir Lazaro;0;0;87 of 209;87 of 254;41%;34%;98 of 221;87 of 254;0 of 10;0 of 0;0%;---;0;0;0;0;1:42;0:24;58 of 166;60 of 211;14 of 22;16 of 30;15 of 21;11 of 13;84 of 203;80 of 244;3 of 6;7 of 10;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);John McCarthy;February 28, 2015;Los Angeles, California, USA;Lightweight Bout;Valmir Lazaro
Alan Jouban;Richard Walsh;0;0;12 of 25;10 of 20;48%;50%;12 of 25;14 of 25;0 of 0;0 of 0;---;---;0;0;0;0;0:01;0:17;7 of 18;3 of 11;4 of 5;5 of 5;1 of 2;2 of 4;8 of 16;8 of 18;4 of 9;2 of 2;0 of 0;0 of 0;KO/TKO;1;2:19;3 Rnd (5-5-5);John McCarthy;February 28, 2015;Los Angeles, California, USA;Welterweight Bout;Alan Jouban
Derrick Lewis;Ruan Potts;0;0;53 of 82;7 of 13;64%;53%;60 of 91;31 of 40;0 of 2;1 of 3;0%;33%;0;1;1;0;4:08;1:40;47 of 76;2 of 6;5 of 5;2 of 4;1 of 1;3 of 3;2 of 6;5 of 9;5 of 5;0 of 0;46 of 71;2 of 4;KO/TKO;2;3:18;3 Rnd (5-5-5);Jerin Valel;February 28, 2015;Los Angeles, California, USA;Heavyweight Bout;Derrick Lewis
Masio Fullen;Alex Torres;0;0;41 of 134;37 of 99;30%;37%;61 of 158;40 of 102;1 of 2;2 of 9;50%;22%;0;0;0;0;1:38;3:15;32 of 121;22 of 73;9 of 12;8 of 12;0 of 1;7 of 14;24 of 96;26 of 74;15 of 34;11 of 25;2 of 4;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;February 28, 2015;Los Angeles, California, USA;Featherweight Bout;Masio Fullen
Cezar Ferreira;Sam Alvey;0;1;13 of 36;4 of 8;36%;50%;13 of 36;4 of 8;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:03;6 of 23;4 of 8;4 of 9;0 of 0;3 of 4;0 of 0;13 of 36;2 of 5;0 of 0;0 of 1;0 of 0;2 of 2;KO/TKO;1;3:34;3 Rnd (5-5-5);Mario Yamasaki;February 22, 2015;Porto Alegre, Rio Grande do Sul, Brazil;Middleweight Bout;Sam Alvey
Santiago Ponzinibbio;Sean Strickland;0;0;50 of 162;44 of 167;30%;26%;54 of 166;46 of 169;1 of 3;2 of 4;33%;50%;0;0;0;0;0:28;1:22;39 of 131;39 of 154;6 of 21;2 of 7;5 of 10;3 of 6;46 of 154;42 of 161;3 of 7;1 of 5;1 of 1;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Wernei Cardoso;February 22, 2015;Porto Alegre, Rio Grande do Sul, Brazil;Welterweight Bout;Santiago Ponzinibbio
Iuri Alcantara;Frankie Saenz;0;0;31 of 59;44 of 95;52%;46%;49 of 77;122 of 184;2 of 4;3 of 4;50%;75%;0;0;0;1;1:02;7:00;18 of 44;16 of 51;11 of 13;10 of 22;2 of 2;18 of 22;23 of 50;7 of 38;5 of 6;13 of 16;3 of 3;24 of 41;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mario Yamasaki;February 22, 2015;Porto Alegre, Rio Grande do Sul, Brazil;Bantamweight Bout;Frankie Saenz
Antonio Silva;Frank Mir;0;1;1 of 3;10 of 18;33%;55%;1 of 3;10 of 18;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:06;0 of 0;10 of 18;0 of 2;0 of 0;1 of 1;0 of 0;1 of 3;4 of 10;0 of 0;0 of 0;0 of 0;6 of 8;KO/TKO;1;1:40;5 Rnd (5-5-5-5-5);Mario Yamasaki;February 22, 2015;Porto Alegre, Rio Grande do Sul, Brazil;Heavyweight Bout;Frank Mir
